Name,RA_hms,DEC_dms,RA,DEC,us,gs,rs,is,zs,Type,SpType,fname,Gaia_DR3_ID,Variability
WD0004+330,00:07:32.26,33:17:27.60,1.8844167,33.291,13.125,13.523,14.042,14.424,14.781,Secondary,DA1,V2.SPSS156.ascii,2874319284171715968,
WD0018-267,00:21:30.73,-26:26:11.46,5.3780417,-26.436517,15.302,14.094,13.610,13.433,13.385,Secondary,DA9,V2.SPSS158.ascii,2323394345824851584,
WD0038+555,00:41:21.99,55:50:08.40,10.341625,55.835667,14.019,13.980,14.113,14.280,14.471,Secondary,DQ5,V2.SPSS217.ascii,418491412783587200,Constant
LTT377,00:41:30.47,-33:37:32.03,10.376958,-33.625564,13.889,11.296,9.948,9.283,9.062,Secondary,K9,V2.SPSS350.ascii,5006921282807193856,Constant
WD0046+051,00:49:09.90,05:23:19.01,12.29125,5.3886139,13.574,12.567,12.298,12.268,12.407,Secondary,DZ7,V2.SPSS101.ascii,2552928187080872832,Constant
WD0047-524,00:50:03.68,-52:08:15.60,12.515333,-52.137667,14.171,14.054,14.439,14.738,15.069,Secondary,DA2,V2.SPSS218.ascii,4922382445088509312,
WD0050-332,00:53:17.44,-32:59:56.60,13.322667,-32.999056,12.742,13.086,13.607,13.932,14.222,Secondary,DA1,V2.SPSS159.ascii,5006486048001153792,
WD0109-264,01:12:11.65,-26:13:27.69,18.048542,-26.224358,12.691,12.875,13.372,13.722,14.058,Secondary,DA1,V2.SPSS161.ascii,5033887183435272064,
WD0123-262,01:25:24.45,-26:00:43.90,21.351875,-26.012194,15.580,15.149,15.006,15.013,15.145,Secondary,DC,V2.SPSS220.ascii,5037084872486444928,Constant
G245-31,01:38:39.39,69:38:01.50,24.664125,69.63375,15.953,14.860,14.228,13.985,13.865,Secondary,K,V2.SPSS221.ascii,532196686212705536,Constant
GJ70,01:43:20.18,04:19:17.97,25.834083,4.3216583,14.173,11.834,10.416,9.297,8.761,Secondary,M2,V2.SPSS327.ascii,2560771312759450496,Constant
